Category,Product_Count,Sample_Products
Bath & Body,5,"ENCHANTEUR ENCHANTEUR Romantic Perfumed Shower Gel (8888202000613), Himalaya Himalaya Ayurveda Clear Skin Soap Bar (8901138844080), Yardley London Yardley London English Rose Luxury Soap (8903105011549)"
Health and Hygiene,5,"Dettol Dettol Disinfectant Sanitizer Wet Wipes (8901396388142), Dettol Dettol Icy Cool Antiseptic Liquid (8901396602316), Dettol Dettol Original Multi-Use Skin Surface Disinfectant Wipes (8901396388159)"
Feminine Hygiene,4,"Whisper Superior Soft Whisper Sanitary Pads Maxi Fit L+ Wings (4987176223890), Whisper Whisper Bindazzz Nights Period Panty Liners (4987176240453), Whisper Whisper Daily Liners Clean Fresh (4987176231765)"
Appliances,4,"Bosch Bosch MGM6644BIN 750 Watt 4-Jar Mixer Grinder (4242005252992), Bosch Bosch MGM8842GIN 1000 Watt 4-Jar Mixer Grinder (4242005248414), CELLO CELLO DURO SWIFT 750 (8901372171553)"
Pumps,4,"KSB KSB Aqua Smarty Self-Priming Pump (8901372167952), KSB KSB Aqua Smarty Self-Priming Pump (8904109910388), KSB KSB Aqua Smarty Self-Priming Pump (8888202054500)"
Kitchen Utensils,4,"All Time All Time Soup Strainer (8902084000414), Fackelmann Fackelmann 43917 Cake Spatula/Scraper (4008033439176), Fackelmann Fackelmann Arcadalina Lasagne Lifter (4008033492638)"
Computer Peripherals,4,"Logitech Logitech K120 USB Keyboard (097855067081), Logitech Logitech M170 Wireless Mouse (097855119254), Logitech Logitech M90 Wired USB Mouse (097855066756)"
Home Storage,4,"Nakoda Nakoda Venus 111 Storage Container with Wheel & Lock Handle (8904073804720), Nakoda Nakoda Venus 111 XL Storage Container with Wheel, Lock & Handle (8904073812350), Nakoda Nakoda Venus 222 XL Storage Container with Wheel & Lock Handle (8904073812367)"
Cookware,4,"Prestige Prestige Everyday Aluminium Non-Stick Omni Tawa (8901365372769), Prestige Prestige Omega Deluxe Granite Finish Non-Stick Dosa Tawa (8901365368625), Vinod Vinod Cookware Dosa Tawa, 28cm Blue/Black (827016063085)"
Shoes & Accessories,4,"Maxwax Maxwax Xtra Shine Liquid Shoe Polish (8908000432277), Maxwax Maxwax Xtra Shine Liquid Shoe Polish (8908000432284), Maxwax Maxwax Xtra Shine Paste Shoe Polish (8908000432017)"
Baby & Toddler Products,4,"Chicco Chicco Combo: Toothbrush (Pink) & Toothpaste (Apple/Banana) (8058664147670), Chicco Chicco Toothbrush Orange 3-8 Years (8058664161485), Chicco Chicco Toothpaste Apple Banana No Fluoride (8058664132539)"
Religious Goods,3,"Cycle Cycle Om Shanthi Pure Camphor 25N (8901751800937), Cycle Cycle Om Shanthi Pure Puja Oil (8901751803457), Maya Maya Chardham Agarbatti Incense Sticks (8902102162049)"
Food and Beverages,3,"HUL (Hindustan Unilever Limited) Horlicks Vanilla Flavour Mother Plus (8901030960468), Horlicks Junior Horlicks Vanilla Flavour (8901030820021), Nestlé BOOST Drink (8901030817281)"
Health & Wellness,3,"Horlicks Horlicks Diabetes Plus Protein Powder (8901030950865), Oral-B Oral-B Medium Toothbrush (4902430806053), Volini Volini Pain Relief Spray (8901296065914)"
Cosmetics & Beauty,3,"Batch Batch VGA Dye Brush PMB-02 (8904086310638), Doms Doms Neon Multi (8908004279212), Wing Wing It with Ankush Bahuguna Product (Unspecified) (8906096572266)"
Toys & Games,3,"Doms Doms Modelling Dough (8906073787836), Montessori Montessori Rainbow Clown Stacker (8907233145596), RORITO RORITO HAPPYHOO Clay Dough Set (8902532045677)"
Educational Supplies,3,"GLOBUS GLOBUS 808 8 Inches / 20 cm Diameter Rotating Globe (8903097000187), Globus Globus 505 Globe (8903097000101), The Book Land Globus 505 or Globus 606 or Globus 808 (8903097000149)"
Drinkware,3,"MILTON MILTON Shine 800 Stainless Steel Water Bottle (8902061290364), Milton Milton SipStar Bottle (8902061292320), PURO PURO HYDRA KID 600 Water Bottle (8901372195016)"
Hardware,3,"Godrej Godrej Locks Navtal Ultra XL Padlock (8904039451005), Godrej Godrej Telescopic Channel 45 Kg Regular (Zinc) (8904109902581), Kangaro Kangaro No-10 Pin (8901057510028)"
Personal Care Appliances,3,"PHILIPS PHILIPS HP8143 Hair Dryer (8710103840817), Philips Philips EssentialCare Hair Dryer (8720689004114), Philips Philips GC1905 1440-Watt Hair Dryer (8710103552505)"
Skincare,3,"GARNIER GARNIER Bright Complete Vitamin C Booster Face Serum (8901526603732), Mamaearth Mamaearth Hydra Gel (8906087772941), Plum Plum Mandarin & Vitamin C Serum (8904430202848)"
Baby & Child Care,3,"Chicco Chicco Anti-Mosquito Fabric Roll-On (8058664132744), Herbal Tripushp Stop Bed Wet Syrup (8908007544027), Pigeon Pigeon Orange Fluoride Toothpaste for Babies and Children (4902508264518)"
Software,3,"Batch Batch Update Software (8906093870105), Batch Batch Update Software (8901088023566), Batch Batch Update Software (8906007750370)"
Electronics Accessories,3,"Batch Batch VGA E15-RB COMB (8904086321146), Batch VEGA HMC 22 (8904086390012), Batch VGA Brush E20-RB (8904086321467)"
Alcoholic Beverages,3,"Beefeater London Dry Gin (6297000442198), Beefeater London Dry Gin (6297000669281), Beefeater London Dry Gin (6297000669373)"
Home Goods,2,"NOLTA NOLTA GLASS FLORENCE (8906052399807), Peanut Butter Peanut Butter Kissen (8901030980053)"
Home & Cleaning,2,"Comfort Comfort After Wash Lily Fresh Fabric Conditioner (8901030803574), Comfort Comfort Perfume Deluxe Fabric Conditioner (8901030769214)"
Industrial Supplies,2,"Cablelabel Cablelabel PUR 60x10mm GN Cable Label (8906073788000), TA TA Foam 18mm x 20m Self-adhesive Thermal Transfer Marking Labels (4242005437023)"
Safety Equipment,2,"CAN CAN Safety Guard 1P (8906081440631), Cole-Parmer Cole-Parmer Safety Glasses (8901765133021)"
Craft Supplies,2,"Fevicryl Fevicryl No Stitch Fabric Glue (8901860520191), Revive Revive Liquid Stiffener (8901088721981)"
Arts & Crafts Supplies,2,"Fevicryl Fevicryl Acrylic Colour - Golden Yellow (8901860510086), Fevicryl Fevicryl Mouldit Epoxy Compound (8901860546757)"
Home Organization,2,"Nakoda Nakoda Magnum 3-Layer Plastic Drawer System (8904073806106), Nakoda Nakoda Pride Multipurpose Chest Storage Drawer Organizer (8904073806342)"
Home Storage & Organization,2,"Nakoda Nakoda Modulo Multipurpose Chest Storage Drawer Organiser (4 Steps) (8904073809428), Nakoda Nakoda Modulo Multipurpose Chest Storage Drawer Organizer (8904073809411)"
Home Furnishings,2,"Aristo Aristo Cabinets Vintage (8904114511020), Aristo Aristo Cabinets Vintage 2 (8904114511013)"
Household Supplies,2,"Aristo Aristo Plastic Spray Bottle (8904114500031), Dettol Dettol Antiseptic Liquid (8901396350309)"
Clothing,2,"ALC ALC Green Silk Dress (42241782), FineBrandz (Inferred) Men's Assorted Ankle Socks (8901326114032)"
Men's Grooming,2,"Babila Babila BASIC Beard Trimmer-BBT-E54 (8906034031183), Beardo Beardo Daily Shine Beard Serum (8906084791617)"
Baby Food,2,"Pigeon Pigeon Baby Food Lesippy R9 Seaweed Porridge 80g (9 Months Old) (4902508003810), Pigeon Pigeon Baby Food Recipe R9 Carrot and Chicken Cream 80g (4902508003827)"
Cosmetics & Personal Care,2,"Old E18 NP (8901030952425), Yardley London Yardley London Gentleman Classic Compact Powder (8903105030397)"
Household Insecticides,2,"Mortein Mortein 2-in-1 Cockroaches & Mosquitoes Insect Killer Spray (8901396514503), Mortein Mortein 2-in-1 Insect Killer (8901396513704)"
Makeup,2,"Sugar Sugar Foundation Liquid 05 Fig (8904320729196), Sugar Sugar Pop Longwear Compact 04 Pearl (8904320731281)"
Snacks,2,"Pringles Pringles Grab and Go Cheddar Cheese (038000845536), Pringles Pringles Sour Cream & Onion (038000138430)"
Mobile Application,2,"Expiry Expiry Date App (8901036124260), Tata Tata CLiQ Palette App (6933164120052)"
Food and Grocery,1,Thanal Morelight DTE Powder (8902102126720)
Laboratory Supplies,1,Batch Batch NOL Flask 1L (8906052390828)
Homeware,1,Luminarc Luminarc Pot Club Jar 750ml (026102938546)
Health & Nutrition,1,Boost Boost 3X Stamina Powder (8901030913211)
Household,1,Viva Viva Rollo Cocina (8901030830389)
Home & Laundry,1,Comfort Comfort Morning Fresh Fabric Conditioner Pouch (8901030803697)
Home Cleaning & Laundry,1,Comfort Comfort Fabric Conditioner (8901030930980)
Shaving Supplies,1,Gillette Gillette Classic Lemon Lime Pre-Shave Foam (4987176177674)
Jewelry,1,Fiery GIA Certified Fiery Ruby Gemstone (20187368)
Automotive Parts,1,Opel Opel Astra G Sedan (F69_) Internal Spare Part 1.8 16V 85 2000 (90379060)
Measuring Instruments,1,Nataraj Nataraj 30cm Scale (8901324580143)
Measuring Tools,1,Doms Doms 15cm / 6 Inch Scale (Set of 10) (8908000034341)
Tools & Hardware,1,HAIXIN HAIXIN Metal Cutter HX-15 (6954485400166)
Baby & Home Goods,1,Navrang Stores Assorted Baby Products and Household Items (8906096572280)
Printing Supplies,1,Apex Apex Anilox Roll (8906096572020)
Baking Supplies,1,Zenker Zenker Silicone Gingerbread Decorating Tool (13cm) (4008033428149)
Hand Tools,1,A1 A1 Punch Plier (4705486681236)
Industrial & Scientific,1,"Fevikwik Fevikwik Instant Adhesive, 3 Grams (8901860010036)"
Storage & Organization,1,Sonal Sonal Plastic Multipurpose Container (10 Partition) (8906112180079)
General Merchandise,1,Department Department Store Item (8906126685713)
Packaging,1,ALL TIME ALL TIME SAFE HAMESHA POLKA CONTAINER (8902084041813)
Luggage & Travel Gear,1,Royal Royal 5-Piece Luggage Set (8904106874959)
Stationery and School Supplies,1,Linc Linc Signetta 2.0 Supertip Super Premium Retractable Pen (8904106851417)
Household Care,1,Ariel Ariel Top Load Liquid Detergent (4987176164056)
Engineering & Technical Resources,1,NASA (or equivalent) Tables of Component Reliability for Binomial Redundancy Applications (8 909150 110115)
Food Processing Technology,1,Low (likely referring to low-energy electron beam technology) Low Energy Electron Beam Sterilization for Dried Insects (20230124)
Pharmaceuticals,1,ISOCHECK ISOCHECK 20MG CAB CJAx30UND (8908000432307)
Medical Supplies,1,Multi Multi Enzymatic Surgical Instrument Cleaner (6921522710748)
Watches,1,NOVA NOVA Premium Slim Series Analog Watch (6921522710526)
Sewing & Craft Supplies,1,Cartini by Godrej Cartini by Godrej Stainless Steel Dressmaking Scissors (8904039462599)
Electrical Supplies,1,Prestige Prestige Metallic Safety Plug (8901365601135)
Hair Care Accessories,1,Gubb Gubb Shell Dressing Comb TGF004 (8906000424001)
Sexual Wellness,1,Skore Skore Dots Condoms (10 Pack) (8906007131001)
Hygiene & Personal Care,1,Fogg Fogg Punch Body Spray (8904238301903)
Batteries,1,Duracell Duracell CR2032 3V Lithium Coin Battery (Pack of 1) (5000394136175)
Kitchen Supplies,1,7STAR 7STAR Aluminium Foil (8904304577997)
Pain Relief,1,Volini Volini Pain Relief Spray (8901296038550)
Automotive & Home,1,STOP-O STOP-O Power Bag Apple Cinnamon Air Freshener (8903664049885)
Fragrances & Home Scents,1,Stop-O Stop-O Power Bag Tangerine (8903664049892)
Home Fragrance & Air Fresheners,1,AIR KARPURE AIR KARPURE Camphor Pouch (8903664058177)
Electronics Cleaning Supplies,1,Batch VGA BRUSH E18-PB (8904086321412)
Beauty Care,1,Grocery Cotton Buds (8904086350160)
Baby & Children's Products,1,Pigeon Pigeon Strawberry Baby & Children's Toothpaste (4902508264501)
Shoes,1,Gucci Gucci Ace Leather Trainers (42419976)
Hairdressing & Barber Supplies,1,PROFESSIONAL PROFESSIONAL Cutting Scissor SC-V06 (8906034035129)
Travel Accessories,1,Babila Babila Travel Kit TK-V01 (8906034033224)
Religious & Spiritual Goods,1,Cycle's Cycle's Naivedya Cup Sambrani (12 Pieces) (8901751009965)
Children's Books,1,Buzzers Look & Learn Hindi Alphabet Book (9789385362453)
Educational Toys & Games,1,Infobells Infobells My First Preschool Activity Workbook with Sight Words (9789391750510)
Lawn & Garden,1,Formula Formula Fast Wax (071099150563)
Gifts & Occasions,1,Rakhi (Unbranded/Generic) Rakhi for Brother with Chocolates (8906098025173)
Bags,1,"Cott n Curls Cott n Curls ""Ocean Life"" Handmade Canvas Tote Bag (8906098027993)"
Pet Supplies,1,Veterinary Veterinary Multivitamin Syrup (8906121070019)
Home & Lifestyle,1,REED Reed Diffuser Set - Apple Cinnamon (8903664050768)
Health and Wellness,1,All All Medical Cannabis Product (Specific Product Name Unknown) (8903664042497)
