ProductLine,Product_Count,Sample_Products
Blush & Glow,7,"Lakmé Lakmé Blush & Glow Brightening Lemon Face Wash (8901030950568), Lakmé Lakmé Blush & Glow Cream Face Wash (8901030860492), Lakmé Lakmé Blush & Glow Face Wash Kiwi (8901030950490)"
Skincare,7,"Beardo Beardo Detan Face Wash (8906084790955), Himalaya Himalaya Dark Spot Clearing Turmeric Face Wash (8901138006112), Himalaya Himalaya Tan Removal Orange Peel-Off Mask (8901138835651)"
Vicks VapoRub,7,"Vicks Vicks VapoRub (4987176244970), Vicks Vicks VapoRub (4987176244987), Vicks Vicks VapoRub Extra Strong (4987176147318)"
Oral-B Sensitive,7,"Oral-B Oral-B CrissCross Ultra Thin Sensitive Toothbrush (4987176239945), Oral-B Oral-B Sensitive Toothbrush (4987176134066), Oral-B Oral-B Sensitive Toothbrush Extra Soft (4902430888325)"
Gillette Fusion5,7,"Gillette Gillette Fusion5 Men's Razor Blade Cartridges (4987176103314), Gillette Gillette Fusion5 Men's Razor Blade Refills (4 Pack) (4987176103291), Gillette Gillette Fusion5 Power Blades (4987176103352)"
Whisper Choice,7,"Whisper Whisper Choice Night Sanitary Pads (4987176210333), Whisper Whisper Choice Sanitary Napkins (Regular) (4987176245281), Whisper Whisper Choice Sanitary Pads XL Ultra with Wings (4987176245250)"
Platinum,7,"Apsara Apsara Platinum Pencil (8901324055795), Vinod Vinod Platinum Triply Stainless Steel Extra Deep Kadai (827016306151), Vinod Vinod Platinum Triply Stainless Steel Frypan 20 cm (827016302061)"
Svachh,7,"Prestige Prestige 3 Litres Svachh Triply Induction Base Pressure Cooker (8901365207023), Prestige Prestige Svachh Aluminum Outer Lid Pressure Cooker (8901365307297), Prestige Prestige Svachh Flip-On SS Pressure Cooker (8901365201571)"
Head & Shoulders,7,"Head & Shoulders Head & Shoulders 2-in-1 Cool Menthol Anti-Dandruff Shampoo & Conditioner (4987176072825), Head & Shoulders Head & Shoulders 2-in-1 Cool Menthol Anti-Dandruff Shampoo & Conditioner (4987176073082), Head & Shoulders Head & Shoulders Cool Menthol Anti-Dandruff Shampoo (4987176073433)"
Contura,7,"Hawkins Hawkins Contura 2 Litre Pressure Cooker (8901165671802), Hawkins Hawkins Contura Black Hard Anodised Pressure Cooker (5L) (8901165026848), Hawkins Hawkins Contura CB15 1.5L Black Pressure Cooker (8901165624846)"
Total Repair 5,7,"L'Oreal Paris L'Oreal Paris Total Repair 5 Advanced Repairing Shampoo (8901526101498), L'Oreal Paris L'Oreal Paris Total Repair 5 Restoring Conditioner (8901526101511), L'Oreal Paris L'Oreal Paris Total Repair 5 Shampoo (8901526102501)"
Ayurvedic Soaps,7,"Ayurveda Ayurveda Mix Manjal Soap (8908002975062), Chandrika Chandrika Ayurvedic Handmade Soap (8901399009037), Chandrika Chandrika Ayurvedic Soap (8901399009020)"
Dermadew,7,"Dermadew Dermadew Aloe Cream (8906058357009), Dermadew Dermadew Aloe Lotion (8906058357016), H H Dermadew H H Dermadew Face Wash 100ml (Pack of 3) (8906058357160)"
Fiama Men,7,"Fiama Fiama Men Cool Burst Shower Gel (8901725928681), Fiama Fiama Men Deep Clean Gel Bar with Charcoal (8905110006817), Fiama Fiama Men Energising Sport Gel Bar (8905110001287)"
Vivel Body Wash,7,"Vivel Vivel Body Wash (Glycerin & Honey) (8901725938284), Vivel Vivel Body Wash (Mint Cucumber) (8901725938253), Vivel Vivel Body Wash 3-in-1 Beauty Protection (Neem Oil & Aloe Vera) (8905110003038)"
Dairy Milk,7,"Cadbury Cadbury Caramello Dairy Milk Chocolate Bar (9300617064978), Cadbury Cadbury Dairy Milk Chocolate Bar (7622210410474), Cadbury Cadbury Dairy Milk Chocolate Bar (7622210400284)"
Stain Care,6,"Henko Henko Detergent Powder Stain Care (8902102125501), Henko Henko Stain Care Big Detergent Bar (8902102125013), Henko Henko Stain Care Detergent Bar (8902102125020)"
Pears Pure & Gentle,6,"Pears Pears Pure & Gentle Bathing Bar (Pack of 4) (8901030764172), Pears Pears Pure & Gentle Face Wash (8901030818233), Pears Pears Pure & Gentle Face Wash (8901030976292)"
Toothpaste,6,"K P Namboodiris K P Namboodiris Herbal Toothpaste (8906007750103), KP Namboodiris KP Namboodiris Herbal Toothpaste (8906007750981), KP Namboodiris KP Namboodiris Toothpaste Herbal Gel (8906007750141)"
Vaseline Intensive Care,6,"Vaseline Vaseline Intensive Care Advanced Repair Fragrance-Free Body Lotion (6001087357081), Vaseline Vaseline Intensive Care Aloe Fresh Body Lotion (8901030890765), Vaseline Vaseline Intensive Care Aloe Fresh Body Lotion (8901030887208)"
Oral-B Kids,6,"Oral-B Oral-B Kids Extra Soft Toothbrush (4902430864329), Oral-B Oral-B Kids Toothbrush (4987176226556), Oral-B Oral-B Kids Toothbrush 3-Pack (4987176226532)"
Pampers Premium Care,6,"Pampers Pampers Premium Care Diaper Pants, Size Large (4987176056320), Pampers Pampers Premium Care Large Size Diapers Pants (4987176056412), Pampers Pampers Premium Care Pants (Size L) (4987176188205)"
Pampers All Round Protection,6,"Pampers Pampers All Round Protection Anti-Rash Pants (4987176182333), Pampers Pampers All Round Protection Pants (4987176180964), Pampers Pampers All Round Protection Pants Extra Large (4987176178749)"
Venus,6,"Gillette Gillette Venus Comfortglide 2N Razor (4987176124616), Gillette Gillette Venus Comfortglide Snap Razor (4987176139122), Nakoda Nakoda Venus 111 Storage Container with Wheel & Lock Handle (8904073804720)"
Bindazzz Nights,6,"Whisper Whisper Bindazzz Nights 360 Degree Ultra Absorbent Postpartum Overnight Disposable Underwear (4987176195739), Whisper Whisper Bindazzz Nights 360 Degree Ultra Absorbent Postpartum Overnight Disposable Underwear (4987176210319), Whisper Whisper Bindazzz Nights Koala Soft Sanitary Pads (4987176240446)"
Black Pearl,6,"Vinod Vinod Black Pearl Hard Anodised Deep Kadai - 26cm, 4.1L Wok (827016309275), Vinod Vinod Black Pearl Hard Anodised Non-Stick Deep Kadhai with Glass Lid (827016113377), Vinod Vinod Black Pearl Hard Anodised Non-Stick Deep Kadhai with Glass Lid (827016116316)"
Garnier Color Naturals,6,"Garnier Garnier Color Naturals 7.3 Golden Brown Hair Color (8901526539314), Garnier Garnier Color Naturals Creme Hair Color 1 Natural Black (8901526202935), Garnier Garnier Color Naturals Creme Riche Hair Color No. 3.16 Burgundy (8901526204472)"
Vajradanti,6,"VICCO VICCO Vajradanti Paste (8901288011004), Vicco Vicco Vajradanti Sugar-Free Toothpaste (8901288210803), Vicco Vicco Vajradanti Toothpaste (Cinnamon Flavor) (8901288410807)"
Incense Sticks,6,"Alaukik Incienso Varillas Sándalo 90gr (8906058541606), Cycle Cycle Lia Jas Agarbatti Incense Sticks (8901751021165), Forest Forest Chandan Wood Premium Incense Sticks (8906037731301)"
Feeding Bottles,6,"Chicco Chicco Baby Feeding Bottle (8058664150274), Chicco Chicco Baby Feeding Bottle (8058664150304), Pigeon Pigeon Flexible Glass Feeding Bottle (200ml) (4902508786881)"
Parachute Advansed,6,"Parachute Advansed Parachute Advansed Gold Coconut Hair Oil (8901088150712), Parachute Parachute Advansed Ayurvedic Coconut Hair Oil (8901088207546), Parachute Parachute Advansed Ayurvedic Hot Oil (8901088047319)"
Ferrero Rocher,6,"Ferrero Ferrero Rocher (8901088028080), Ferrero Ferrero Rocher (8000500009673), Ferrero Ferrero Rocher Chocolate Confections (8000500313183)"
HB,6,"Babila Babila Round Hair Brush HB-V260 (8906034035853), Round Round Brush HB-V450 (8906034033439), Round Round Brush HB-V450 (8906034030216)"
Fiama Gel Bars,6,"Fiama Fiama Celebration Pack Gel Bar (5 x 125g) (8905110007203), Fiama Fiama Gel Bar Blackcurrant & Bearberry (8905110001720), Fiama Fiama Gel Bar Patchouli & Macadamia (8905110001744)"
Vivel,6,"ITC ITC Vivel Lime + Aloe Vera Soft Fresh Skin Bar Soap (8905110008453), Vivel Vivel Aloe Vera Bathing Soap (8905110004936), Vivel Vivel Aloe Vera Soap (8901725931803)"
Feed Easy,6,"Chicco Chicco Feed Easy Blue Colored Narrow Neck Feeding Bottle (8058664173921), Chicco Chicco Feed Easy Feeding Bottle (8058664132386), Chicco Chicco Feed Easy Pink Colored Narrow Neck Feeding Bottle (8058664173938)"
Sensodyne,6,"Sensodyne Sensodyne Deep Clean Sensitivity Relief Toothpaste (8901571009367), Sensodyne Sensodyne Fresh Mint Toothpaste (8991991161332), Sensodyne Sensodyne Fresh Mint Toothpaste (8901571004614)"
KitKat,6,"KitKat KitKat Coffee (6294017117583), Nestlé KitKat 4 Finger Chocolate Bar (7613037090901), Nestlé KitKat Chunky (8690632059150)"
Eyeconic,6,"Lakmé Lakmé Eyeconic Curling Mascara (8901030979590), Lakmé Lakmé Eyeconic Insta Cool Kajal (8901030807350), Lakmé Lakmé Eyeconic Kajal (8901030946943)"
Himalaya Brightening Range,6,"Himalaya Himalaya Brightening Vitamin C Blueberry Face Wash (8901138005986), Himalaya Himalaya Brightening Vitamin C Blueberry Face Wash (8901138005955), Himalaya Himalaya Brightening Vitamin C Orange Face Wash (8901138005979)"
Natural Glow,6,"Himalaya Herbals Himalaya Herbals Natural Glow Fairness Cream (8901138504519), Himalaya Herbals Himalaya Herbals Natural Glow Fairness Cream (8901138500467), Himalaya Himalaya Natural Glow Kesar Face Pack (8901138821890)"
Active,5,"Closeup Closeup Active Toothpaste (8901030986451), Milton Milton Active Stainless Steel Water Bottle (8902061290128), Milton Milton Active Stainless Steel Water Bottle (8902061290111)"
Surf Excel Easy Wash,5,"Surf Excel Surf Excel Easy Wash Detergent (8901030850479), Surf Excel Surf Excel Easy Wash Detergent Powder (8901030850523), Surf Excel Surf Excel Easy Wash Detergent Powder (8901030850448)"
Pears Naturale,5,"Pears Pears Naturale Aloe Vera Detoxifying Body Wash (8901030753992), Pears Pears Naturale Brightening Pomegranate Body Wash (8901030753985), Pears Pears Naturale Nourishing Coconut Water Body Wash (8901030754005)"
Red Label,5,"Brooke Bond Brooke Bond Red Label Natural Care Tea (8901030882562), Brooke Bond Brooke Bond Red Label NaturalCare Tea (8901030882548), Brooke Bond Brooke Bond Red Label Tea 500g Carton (8901030977428)"
Keratin Smooth,5,"TRESemmé TRESemmé Keratin Smooth Conditioner (8901030706042), TRESemmé TRESemmé Keratin Smooth Shampoo (8901030705915), TRESemmé TRESemmé Keratin Smooth Shampoo (8901030855092)"
BB Cream,5,"Glow & Lovely (formerly Fair & Lovely) Glow & Lovely BB Cream (8901030971211), Glow & Lovely Glow & Lovely BB Multivitamin Cream with Foundation (8901030971204), Ponds Ponds BB+ Cream (8901030826900)"
Organic Muesli,5,"Bio Village Bio Céréales Muesli (8901030926525), Bio Village Bio Céréales Muesli (8888202026415), Bio Village Bio Céréales Muesli (8888202045737)"
Tide Matic,5,"Tide Tide Matic Front Load Detergent Powder (4987176179869), Tide Tide Matic Front Load Liquid Detergent (4987176220240), Tide Tide Matic Liquid Detergent for Front Load Washers (4987176179906)"
7 O'Clock,5,"Gillette Gillette 7 O'Clock PLL Razor (4987176151650), Gillette Gillette 7 O'Clock PermaSharp Stainless Steel Double Edge Razor Blades (4987176101983), Gillette Gillette 7 O'Clock Platinum Lubra Plus (PLL) Razor Blade Cartridges (4987176102027)"
Pampers Diaper Pants,5,"Pampers Pampers Diaper Pants Large All-Round Protection (4987176215079), Pampers Pampers Diaper Pants Medium (26 pcs) (4987176215055), Pampers Pampers Diaper Pants Medium All-Round Protection Anti-Rash Blanket (4987176215017)"
Baby-Dry,5,"Pampers Pampers Baby-Dry Diapers Small Size (4987176136060), Pampers Pampers Baby-Dry Diapers, Large Size (9-14 kg), 5 Count Pouch (4987176137562), Pampers Pampers Baby-Dry Diapers, Medium, 20 Count (4987176136077)"
Doms Erasers,5,"Doms Doms Coloured Erasers (Small, Pack of 20) (8906073772467), Doms Doms Dust Free Eraser (Small, Pack of 20) (8908000034228), Doms Doms Extra Long Dust Free Eraser (Pack of 20) (8908000034365)"
Apsara Erasers,5,"Apsara Apsara Non-Dust Eraser (8901324010664), Apsara Apsara Non-Dust Eraser (8901324061239), Apsara Apsara Non-Dust Erasers (8901324060027)"
Octane,5,"Classmate Classmate Octane Ball Pen (8903183302157), Classmate Classmate Octane Ball Pen (Black) (8903183302164), Classmate Classmate Octane Fountain Pen (8903183302119)"
Legacy,5,"Beardo Beardo Legacy Perfume Deo Spray (8906084796667), Vinod Vinod Legacy Pre-Seasoned Cast Iron Dosa Tawa (827016308483), Vinod Vinod Legacy Pre-Seasoned Cast Iron Grill Pan (827016308476)"
Vinod Zest,5,"Vinod Vinod Zest Aluminium Non-Stick Dosa Tawa (827016063092), Vinod Vinod Zest Aluminium Non-Stick Paniyarakkal with Glass Lid (827016310974), Vinod Vinod Zest Non-Stick Griddle (827016066086)"
Gala Cleaning Tools,5,"Gala Gala Clip N Fit Floor Mop (8901663002405), Gala Gala Dustpan (8901663101986), Gala Gala No Dust Broom (8901663104000)"
Borosil Glassware,5,"Borosil Borosil Glass Mixing Bowl (1300ml) (8901309107136), Borosil Borosil Glass Mixing Bowl (1700ml) (8901309107112), Borosil Borosil Glass Mixing Bowl (500ml) (8901309107051)"
Thermoware,5,"Milton Milton SS Carafe Hot & Cold Flask Jug (8902061100168), Milton Milton SS Carafe Hot & Cold Flask Jug (1000ml) (8902061100151), Milton Milton SS Carafe Hot & Cold Flask Jug (2000ml) (8902061100298)"
Pantene Hair Science,5,"Pantene Pantene Hair Science Deep Repair Shampoo (4987176234421), Pantene Pantene Hair Science Deep Repair Shampoo (4987176234292), Pantene Pantene Hair Science Healthy Shine Shampoo (4987176234476)"
Cotton Swabs,5,"Kiwi Kiwi Paper Stick Cotton Swabs (8905457899813), Pigeon Pigeon K-871 Cotton Swabs with Thin Stem (4902508108713), Tulips Tulips Cotton Buds (8904117400734)"
Oral Care,5,"Formula Formula Tongue Cleaner (6931428210082), Good Good Quality Plastic Tongue Cleaner (8906114771220), Lexus Lexus Tongue Cleaner (8908013541027)"
Good Home,5,"Buy Good Home Good Home Air Freshener (Rose & Lavender) (8902618012333), Buy Good Home Good Home Air Freshener - Whispers of Passion (8902618000552), Good Home Good Home Air Freshener Soul Blossom (8902618000538)"
Ayurvedic Hair Care,5,"Dhathri Dhathri Neelibhringadi Keram (8904070907967), K.P. Namboodiris K.P. Namboodiris Ayurvedic Anti-Dandruff Shampoo (8906007750318), K.P.N. K.P.N. Ayurvedic Hair Care Shampoo (8906007750950)"
Fogg Body Sprays,5,"Fogg Fogg Fizzy Dew Body Spray for Men (8904238302085), Fogg Fogg Imperial Fragrance Body Spray (8908001158480), Fogg Fogg Marco Body Spray (Pack of 2) (8908001158305)"
Garnier Men,5,"Garnier Garnier Men Face Wash (50g x 2) (8901526205578), Garnier Garnier Men Oil Clear Face Wash (8901526205561), Garnier Garnier Men Shampoo Color 1.0 Natural Black (8901526573547)"
Hyaluron Moisture,5,"L'Oreal Paris L'Oreal Paris Hyaluron Moisture 72H Moisture Sealing Conditioner (8901526603411), L'Oreal Paris L'Oreal Paris Hyaluron Moisture Shampoo (8901526603442), L'Oréal Paris L'Oréal Paris Hyaluron Moisture 72H Hydra Leave-In Hair Cream (8901526603428)"
Aloe Vera,5,"Green Leaf Green Leaf Aloe Vera Skin Gel (8906026991020), Greenleaf Greenleaf Pure Aloe Vera Skin Gel (8906026991037), K P Namboodri K P Namboodri Aloe Vera Gel (8906007750479)"
Opti Care,5,"Get Opti Care Split End Serum (8901526401260), Matrix Matrix Opti Care Smooth Straight Conditioner (8901526407828), Matrix Matrix Opti Care Smooth Straight Conditioner with Shea Butter (8901526407811)"
Lia,5,"Buy Lia Room Freshener (Lavender) (8903664054117), Cycle Cycle Brand Lia Pineapple Twirl Candy (8901751021202), Cycle Cycle Brand Lia Pineapple Twirl Tangy & Refreshing Incense Sticks (8901751024579)"
Hair Brushes,5,"Babila Babila Paddle Brush (8906034030179), VEGA VEGA Hair Brush R10-FB (8904086321061), Vega Vega Flat Hair Brush with Cleaner (E18FB) (8904086321405)"
Hair Combs,5,"Rose Rose Wooden Comb (8906034032913), The Sparkle India Hair Comb (8904086320590), The Sparkle India Hair Comb (8904086320705)"
HMSC,5,"Batch Batch VGA HMSC-32D (8904086315084), Batch Batch VGA HMSC-42D (8904086315107), Batch VGA HMSC-04D (8904086315053)"
